"Timestamp","What is your gender?","What is your age?","Do you play video games or have you ever played video games?","How frequent do you now or in the past are you used to play video games?","What type of device do you use to play video games?","What genres of video games do you prefer playing?","For fun and enjoyment","To feel competent","To escape from daily routine/to have a break","To improve my skills and education","For fitness","To be part of a community","To be a professional gamer, for e-sports","Because it is challenging and rewarding","To socialize"
"2018/05/21 7:40:53 pm EET","Female","30-34","No","Less than 3 hours a week","Smartphone","Arcade;Simulation;Puzzle;Educational","4","4","4","3","2","2","2","4","3"
"2018/05/21 7:41:36 pm EET","Female","18-24","Yes","3-5 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation","5","6","4","6","5","5","6","5","1"
"2018/05/21 7:44:18 pm EET","Female","25-29","No","Less than 3 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Strategy","1","1","1","1","1","1","1","4","1"
"2018/05/21 7:49:26 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Action;Adventure;Sports;Music, dance or party","7","3","5","3","3","3","3","2","3"
"2018/05/21 7:51:04 pm EET","Female","18-24","Yes","Less than 3 hours a week","PC/Laptop","Adventure","5","2","2","2","1","1","1","1","1"
"2018/05/21 7:52:17 pm EET","Female","18-24","No","Less than 3 hours a week","Smartphone","Puzzle;Music, dance or party","1","5","4","7","7","3","1","4","5"
"2018/05/21 7:52:37 pm EET","Female","18-24","Yes","6-9 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Simulation;Adventure;Sports;Music, dance or party","6","4","6","4","2","1","1","3","1"
"2018/05/21 7:59:15 pm EET","Female","18-24","Yes","6-9 hours a week","Smartphone","Music, dance or party","5","2","6","4","3","4","6","6","5"
"2018/05/21 7:59:37 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone;Ipod","Role-playing","7","7","7","7","7","7","7","7","7"
"2018/05/21 8:00:19 pm EET","Male","18-24","Yes","10-14 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Adventure;MMO;Role-playing;Sports","7","2","6","3","1","1","1","5","2"
"2018/05/21 8:01:21 pm EET","Female","18-24","Yes","3-5 hours a week","PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Simulation;Adventure;Strategy;Role-playing","7","1","4","3","1","1","1","4","3"
"2018/05/21 8:04:18 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS);Arcade","Arcade;Simulation;Adventure;Role-playing;Sports;Educational;Logic game","7","5","6","5","3","1","1","1","1"
"2018/05/21 8:14:34 pm EET","Female","25-29","Yes","Less than 3 hours a week","Smartphone","Action","7","1","1","1","1","1","1","1","1"
"2018/05/21 8:18:47 pm EET","Female","18-24","Yes","Less than 3 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Adventure;Role-playing;Sports;Music, dance or party","4","3","3","3","3","2","1","2","1"
"2018/05/21 8:21:51 pm EET","Female","18-24","No","3-5 hours a week","Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Adventure","6","5","5","5","5","6","6","6","5"
"2018/05/21 8:22:07 pm EET","Female","18-24","No","Less than 3 hours a week","Smartphone","Simulation","7","1","4","1","1","1","1","1","1"
"2018/05/21 8:29:48 pm EET","Female","25-29","Yes","10-14 hours a week","Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Simulation;Puzzle","5","4","5","3","1","1","1","3","4"
"2018/05/21 8:31:10 pm EET","Male","18-24","Yes","10-14 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action;Strategy;Sports","6","4","6","6","6","7","6","5","6"
"2018/05/21 8:33:57 pm EET","Female","18-24","No","Less than 3 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Adventure;Role-playing;Music, dance or party","4","1","2","1","1","1","1","3","1"
"2018/05/21 8:35:06 pm EET","Female","18-24","Yes","6-9 hours a week","Smartphone","Simulation;Puzzle;Strategy;Logic game","6","2","5","2","1","4","1","5","1"
"2018/05/21 8:36:04 pm EET","Female","18-24","Yes","3-5 hours a week","Smartphone","Puzzle;Role-playing;Logic game","7","5","4","2","1","5","1","1","3"
"2018/05/21 8:43:46 pm EET","Female","18-24","Yes","6-9 hours a week","PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action;Adventure","7","3","6","5","1","4","3","5","3"
"2018/05/21 8:47:32 pm EET","Female","18-24","Yes","3-5 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action;Adventure;Strategy","7","1","7","1","1","1","1","2","1"
"2018/05/21 8:47:35 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone","Arcade","4","3","2","2","3","3","2","2","3"
"2018/05/21 8:48:35 pm EET","Female","18-24","No","Less than 3 hours a week","PC/Laptop","Arcade;Action;Adventure;Logic game","5","4","4","5","3","4","3","6","7"
"2018/05/21 8:51:04 pm EET","Female","18-24","Yes","Less than 3 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Sports;Music, dance or party","7","1","1","1","6","4","1","1","1"
"2018/05/21 8:51:21 pm EET","Male","18-24","Yes","3-5 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Sports","7","7","5","4","1","5","2","4","5"
"2018/05/21 8:57:46 pm EET","Male","18-24","Yes","10-14 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Adventure;Strategy;Sports","6","6","7","6","2","6","4","5","7"
"2018/05/21 8:59:50 pm EET","Female","18-24","Yes","6-9 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Adventure;Logic game","7","3","7","2","5","1","1","1","2"
"2018/05/21 9:03:49 pm EET","Male","18-24","Yes","6-9 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Sports","7","4","1","4","1","5","1","1","4"
"2018/05/21 9:10:53 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone;PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Sports","7","6","4","7","6","6","5","7","7"
"2018/05/21 9:11:23 pm EET","Male","18-24","Yes","15-19 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Action;Adventure;Strategy;Role-playing","7","3","5","4","1","1","1","1","1"
"2018/05/21 9:13:00 pm EET","Male","18-24","Yes","15-19 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Adventure;Strategy;Sports;Logic game","6","7","5","2","1","4","4","5","7"
"2018/05/21 9:14:41 pm EET","Female","30-34","Yes","Less than 3 hours a week","Smartphone","Strategy;Logic game","6","5","6","6","6","5","4","4","1"
"2018/05/21 9:17:43 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone","Adventure","7","7","7","7","7","7","7","7","7"
"2018/05/21 9:18:26 pm EET","Female","25-29","Yes","6-9 hours a week","PC/Laptop","Simulation;Role-playing;Logic game","6","2","5","2","1","1","1","3","1"
"2018/05/21 9:18:31 pm EET","Female","18-24","Yes","Less than 3 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action;Adventure;Strategy","7","4","4","1","1","1","1","4","1"
"2018/05/21 9:19:34 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Adventure;Racing","5","4","5","3","3","4","4","5","3"
"2018/05/21 9:31:22 pm EET","Female","25-29","Yes","Less than 3 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Simulation;Action;Adventure;Sports;Music, dance or party","7","5","2","5","6","2","1","2","1"
"2018/05/21 9:38:15 pm EET","Female","18-24","Yes","10-14 hours a week","PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Action","7","7","7","6","7","7","7","7","7"
"2018/05/21 9:40:24 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone;PC/Laptop","Role-playing","7","1","7","1","1","1","1","1","1"
"2018/05/21 9:41:11 pm EET","Female","18-24","Yes","3-5 hours a week","Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Strategy;Board or card game;Logic game","6","4","5","3","1","2","1","4","2"
"2018/05/21 9:41:43 pm EET","Female",">45","Yes","Less than 3 hours a week","Smartphone","Puzzle;Educational;Logic game","7","4","5","6","1","1","1","1","1"
"2018/05/21 9:42:47 pm EET","Male","18-24","Yes","Less than 3 hours a week","Smartphone;PC/Laptop","Arcade;Simulation;Action;Adventure;Logic game","6","6","4","3","1","2","1","4","5"
"2018/05/21 9:56:18 pm EET","Female","18-24","Yes","20 hours or more a week","PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action;Role-playing","4","4","6","5","1","1","4","5","2"
"2018/05/21 10:01:59 pm EET","Female","18-24","Yes","10-14 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Adventure;Sports;Logic game","4","2","3","2","2","4","1","4","3"
"2018/05/21 10:10:55 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone;PC/Laptop","Arcade;Simulation;Role-playing;Educational","4","4","5","5","5","3","4","6","4"
"2018/05/21 10:12:31 pm EET","Male","18-24","Yes","3-5 hours a week","Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action","7","7","7","7","7","7","7","7","7"
"2018/05/21 10:17:12 pm EET","Female","25-29","Yes","6-9 hours a week","Smartphone","Arcade;Simulation;Puzzle;Action;Adventure;Strategy;Role-playing","6","3","6","5","1","1","1","5","1"
"2018/05/21 10:17:50 pm EET","Female","18-24","No","Less than 3 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation","6","1","3","1","1","1","1","1","2"
"2018/05/21 10:17:56 pm EET","Female","18-24","Yes","3-5 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Puzzle;Music, dance or party;Board or card game;Logic game","6","3","3","2","2","2","1","3","2"
"2018/05/21 10:21:33 pm EET","Female","18-24","Yes","3-5 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Simulation;Adventure;Strategy","5","4","6","3","1","2","1","6","4"
"2018/05/21 10:29:17 pm EET","Female","18-24","Yes","3-5 hours a week","Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Role-playing;Music, dance or party;Board or card game;Logic game","6","5","7","3","1","3","3","6","5"
"2018/05/21 10:33:00 pm EET","Female","18-24","Yes","3-5 hours a week","PC/Laptop","Simulation","7","3","7","1","1","1","1","5","1"
"2018/05/21 10:35:01 pm EET","Female","18-24","No","Less than 3 hours a week","Smartphone","Logic game","3","4","1","1","1","1","1","2","1"
"2018/05/21 10:36:10 pm EET","Female","18-24","Yes","6-9 hours a week","Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Adventure;Strategy;Music, dance or party;Logic game","7","5","5","3","1","3","1","3","1"
"2018/05/21 10:39:34 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Adventure;Music, dance or party;Educational","3","1","4","1","7","1","1","1","1"
"2018/05/21 10:39:57 pm EET","Female","18-24","Yes","Less than 3 hours a week","Smartphone","Simulation;Puzzle;Logic game","5","3","6","1","1","1","1","4","1"
"2018/05/21 10:40:51 pm EET","Female","25-29","Yes","6-9 hours a week","Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Adventure","5","1","2","1","1","1","1","3","1"
