,Gender,Age,Frequency,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize,G_Arcade,G_Simulation,G_Puzzle,G_Action,G_Adventure,G_MMO,G_Strategy,G_RolePlaying,G_Racing,G_Sports,G_Music,G_BoardCard,G_Educational,G_Logic,D_Smartphone,D_PC,D_Console,D_Portable,D_Arcade
111,Male,18-24,Less than 3 hours a week,7,4,5,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
112,Female,30-34,Less than 3 hours a week,6,4,5,4,4,4,4,5,6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
113,Female,18-24,Less than 3 hours a week,7,2,5,5,1,1,1,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
114,Female,18-24,3-5 hours a week,6,3,7,2,2,3,1,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
115,Female,25-29,3-5 hours a week,7,1,5,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0
117,Female,18-24,3-5 hours a week,4,4,4,4,4,4,4,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
118,Female,18-24,6-9 hours a week,7,5,6,5,5,3,1,3,3,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0
119,Female,18-24,Less than 3 hours a week,5,4,5,4,1,4,1,3,4,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
120,Female,18-24,Less than 3 hours a week,7,3,6,2,4,2,3,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
122,Female,18-24,Less than 3 hours a week,4,1,6,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
124,Female,18-24,Less than 3 hours a week,7,4,6,3,3,3,1,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
125,Female,18-24,Less than 3 hours a week,4,4,6,3,3,2,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
126,Female,18-24,Less than 3 hours a week,4,4,4,3,5,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
127,Female,18-24,Less than 3 hours a week,5,2,3,4,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
128,Female,18-24,Less than 3 hours a week,4,2,2,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
129,Female,25-29,Less than 3 hours a week,7,1,6,4,1,1,1,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,Female,18-24,3-5 hours a week,7,1,7,1,1,1,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
131,Female,18-24,Less than 3 hours a week,7,4,1,7,1,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
132,Female,18-24,Less than 3 hours a week,6,4,5,4,3,4,3,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133,Female,18-24,6-9 hours a week,6,7,7,7,1,1,1,7,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0
135,Female,18-24,Less than 3 hours a week,3,1,2,1,1,3,1,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
136,Female,18-24,Less than 3 hours a week,4,1,1,1,3,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
137,Female,18-24,3-5 hours a week,7,5,6,1,1,1,1,3,4,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0
138,Female,25-29,Less than 3 hours a week,7,3,4,6,3,7,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
139,Female,18-24,3-5 hours a week,7,4,6,6,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
140,Female,18-24,3-5 hours a week,7,3,5,4,1,4,2,5,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
141,Female,18-24,3-5 hours a week,7,5,6,3,1,4,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
142,Female,25-29,Less than 3 hours a week,7,3,4,7,3,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,Female,18-24,6-9 hours a week,7,1,5,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
144,Female,18-24,Less than 3 hours a week,7,4,7,4,1,1,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
145,Female,18-24,3-5 hours a week,7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
146,Female,25-29,10-14 hours a week,7,4,6,5,1,1,1,7,2,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0
147,Female,18-24,3-5 hours a week,7,5,5,3,1,1,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
148,Female,18-24,Less than 3 hours a week,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
149,Female,18-24,3-5 hours a week,3,5,5,2,1,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
150,Female,18-24,Less than 3 hours a week,6,3,6,2,1,1,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
151,Female,18-24,3-5 hours a week,5,2,2,2,2,4,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0
152,Male,18-24,15-19 hours a week,7,7,6,7,4,7,7,7,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
153,Female,18-24,3-5 hours a week,7,2,6,5,1,1,1,7,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
154,Female,18-24,3-5 hours a week,4,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
155,Male,18-24,6-9 hours a week,7,4,7,2,1,6,1,6,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
156,Female,18-24,6-9 hours a week,6,4,7,6,3,2,2,5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
157,Female,18-24,3-5 hours a week,6,1,6,4,1,1,1,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
158,Female,18-24,Less than 3 hours a week,6,6,7,4,1,2,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
160,Female,18-24,Less than 3 hours a week,5,3,4,2,1,1,3,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
162,Female,18-24,6-9 hours a week,7,4,4,4,3,1,1,5,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0
163,Female,18-24,20 hours or more a week,5,3,4,3,1,4,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
164,Male,18-24,6-9 hours a week,6,1,3,4,3,4,2,5,4,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
165,Female,25-29,3-5 hours a week,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
166,Female,18-24,3-5 hours a week,7,5,5,3,1,2,1,5,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
167,Female,18-24,6-9 hours a week,7,1,6,1,1,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
