,Gender,Age,Frequency,Device,Genres,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize
475,Female,18-24,Less than 3 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Action;Adventure;Strategy;Logic game,6,1,4,2,1,1,1,6,1
476,Male,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action,4,5,7,4,3,7,5,5,3
477,Female,18-24,Less than 3 hours a week,Smartphone,Puzzle;Strategy;Logic game,6,3,5,1,1,1,1,3,1
478,Male,30-34,3-5 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Action;Adventure;Strategy;Sports,7,3,6,4,2,2,2,5,2
479,Male,18-24,6-9 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation,3,4,2,6,1,4,5,1,7
482,Female,18-24,Less than 3 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Sports;Logic game,5,6,7,4,4,7,3,4,6
483,Male,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action,6,5,5,5,3,5,6,6,7
484,Female,35-39,Less than 3 hours a week,Smartphone,Arcade;Simulation;Puzzle;Role-playing,7,5,7,7,4,4,1,4,4
485,Female,18-24,Less than 3 hours a week,Smartphone,Action;Role-playing;Logic game,6,5,6,6,6,3,6,5,4
486,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Simulation;Puzzle;Adventure;Role-playing;Logic game,6,4,7,4,2,3,1,4,2
487,Female,18-24,Less than 3 hours a week,Smartphone,Arcade,5,2,6,1,1,1,1,3,1
488,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Adventure;Role-playing;Racing;Sports,7,6,5,4,2,3,2,5,2
490,Female,18-24,3-5 hours a week,PC/Laptop,Logic game,4,2,2,4,1,1,1,1,1
492,Female,18-24,6-9 hours a week,Smartphone,Educational,6,3,5,4,7,1,4,7,4
493,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Racing;Music, dance or party;Educational;Logic game",4,2,6,5,4,1,1,2,1
494,Female,18-24,20 hours or more a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Simulation;Action;Adventure;Strategy;Role-playing;Sports;Music, dance or party;Logic game",7,4,6,5,2,3,1,4,2
495,Female,18-24,Less than 3 hours a week,Smartphone,"Arcade;Strategy;Music, dance or party;Educational;Logic game",4,4,7,7,1,4,2,1,2
496,Female,18-24,6-9 hours a week,Smartphone,Role-playing,5,3,7,4,2,6,1,3,3
497,Female,25-29,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Puzzle;Action;Adventure;Strategy;Racing;Sports;Music, dance or party",7,7,7,7,4,1,1,7,1
498,Female,18-24,3-5 hours a week,Smartphone,Sports,4,5,6,4,6,3,5,3,6
499,Male,18-24,Less than 3 hours a week,Smartphone,Arcade;Simulation;Logic game,7,4,3,2,2,3,1,1,1
500,Female,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Adventure;Logic game,6,2,5,2,2,4,1,5,3
501,Female,18-24,Less than 3 hours a week,Smartphone;PC/Laptop,Simulation;Action;Adventure,6,1,5,3,1,1,1,1,1
502,Female,18-24,3-5 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Sports;Music, dance or party",6,2,6,2,4,2,1,5,4
505,Female,18-24,15-19 hours a week,Smartphone;PC/Laptop,Simulation;Puzzle;Action;Adventure;Strategy;Role-playing;Logic game,7,2,6,4,1,3,1,6,5
506,Male,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Action;Adventure;Music, dance or party",3,2,1,5,3,1,4,3,5
507,Female,18-24,Less than 3 hours a week,PC/Laptop,Adventure;Role-playing,7,1,5,1,1,1,1,1,1
509,Female,18-24,3-5 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Strategy;Role-playing;Logic game,4,5,5,2,1,5,1,5,4
510,Female,18-24,Less than 3 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Music, dance or party",6,4,6,4,3,1,1,3,1
511,Female,18-24,3-5 hours a week,Smartphone,Simulation;Adventure,7,5,6,4,1,2,1,4,1
512,Female,25-29,10-14 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS);Arcade","Arcade;MMO;Strategy;Music, dance or party;Board or card game;Educational;Logic game",7,3,6,6,2,3,5,3,3
513,Female,18-24,Less than 3 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Adventure,5,3,4,2,1,1,1,3,1
