,Gender,Age,Frequency,Device,Genres,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize
221,Female,25-29,15-19 hours a week,"PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Puzzle;Action;Adventure;Role-playing;Music, dance or party",7,3,6,3,1,4,1,6,2
222,Female,18-24,Less than 3 hours a week,Smartphone,"Puzzle;Music, dance or party",5,1,6,1,1,1,1,3,1
223,Male,18-24,10-14 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Sports,5,2,5,1,3,3,1,1,4
225,Male,18-24,15-19 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure,7,7,3,6,1,2,2,3,1
226,Female,18-24,3-5 hours a week,Smartphone,Role-playing,6,1,4,1,1,1,1,1,1
227,Female,35-39,Less than 3 hours a week,Smartphone,Arcade;Simulation;Action;Strategy;Board or card game,7,5,6,6,1,1,1,1,1
228,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Sports,7,4,4,4,4,2,2,5,4
229,Female,25-29,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Action;Adventure;Role-playing;Music, dance or party",7,5,4,3,6,1,1,1,1
230,Female,18-24,3-5 hours a week,PC/Laptop,Adventure;Strategy,7,1,7,2,1,1,1,1,1
231,Male,18-24,20 hours or more a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Role-playing;FPS,7,2,5,5,1,2,3,7,3
232,Female,18-24,Less than 3 hours a week,Smartphone;PC/Laptop,Simulation;Action;Adventure,3,6,4,5,2,4,2,3,7
234,Male,25-29,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure;MMO;Sports,7,4,6,5,1,3,1,1,1
235,Female,18-24,6-9 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Simulation;Adventure;MMO,7,3,6,2,1,2,2,5,1
236,Female,25-29,Less than 3 hours a week,Smartphone,Logic game,7,5,7,5,4,1,1,4,1
237,Female,25-29,Less than 3 hours a week,Smartphone,Puzzle;Logic game,6,5,5,1,3,2,1,1,1
238,Male,18-24,6-9 hours a week,PC/Laptop,MMO;Strategy;Role-playing,7,1,7,1,1,4,1,6,1
239,Male,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Strategy;Role-playing,7,3,7,2,1,2,1,4,2
240,Female,18-24,15-19 hours a week,PC/Laptop,Strategy,7,3,7,3,1,1,1,7,5
241,Female,18-24,10-14 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Action;Adventure;Strategy;Role-playing,7,4,6,4,1,1,1,4,1
242,Female,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Adventure,6,5,7,2,1,6,3,1,6
243,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Adventure;Racing;Sports,4,4,3,3,2,1,3,4,3
244,Female,30-34,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Action;Adventure;Strategy;Music, dance or party;Logic game",7,5,1,3,1,1,1,5,1
245,Female,18-24,3-5 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Adventure;Educational;Logic game,7,4,3,1,5,1,1,5,1
246,Female,18-24,Less than 3 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Strategy;Educational;Logic game,5,5,4,6,3,2,3,4,3
247,Female,18-24,6-9 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Strategy;Role-playing,5,4,4,3,1,1,1,3,2
248,Female,18-24,3-5 hours a week,Smartphone,Racing,5,3,4,3,2,3,1,2,3
249,Female,18-24,10-14 hours a week,PC/Laptop,Arcade;Adventure,6,6,6,6,4,5,2,5,5
250,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Puzzle;Music, dance or party;Logic game",7,1,3,1,4,1,1,1,1
251,Male,18-24,15-19 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Action,7,6,7,4,1,7,5,7,7
253,Female,18-24,15-19 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Puzzle;Adventure;Strategy;Role-playing;Logic game,6,4,6,3,3,3,1,1,3
254,Female,18-24,10-14 hours a week,Smartphone;PC/Laptop,Puzzle;Adventure;Role-playing;Educational;Logic game,7,5,7,6,1,1,1,3,1
255,Female,18-24,3-5 hours a week,"PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Simulation;Adventure;Strategy;Sports,6,2,6,1,1,1,1,1,1
256,Female,18-24,10-14 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Puzzle;Adventure;Role-playing;Racing;Music, dance or party",7,3,6,2,1,5,1,4,3
257,Female,18-24,Less than 3 hours a week,Smartphone,Simulation;Adventure;Role-playing,4,4,4,4,4,4,4,4,4
258,Female,25-29,Less than 3 hours a week,Smartphone,Adventure,7,7,7,7,7,7,7,7,7
259,Male,18-24,20 hours or more a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;MMO;Strategy;Sports,6,4,5,5,1,5,1,3,3
260,Female,25-29,15-19 hours a week,Smartphone,Simulation;Adventure;Role-playing,6,6,3,5,3,3,1,5,2
261,Female,25-29,3-5 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure;Racing;Educational,6,1,3,2,1,1,1,4,1
262,Female,18-24,Less than 3 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Action;Music, dance or party",6,2,6,2,1,1,1,3,1
265,Female,18-24,6-9 hours a week,Smartphone;DS,Simulation;Strategy;Role-playing;Logic game,7,4,6,4,4,3,4,5,2
266,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Strategy;Role-playing;Music, dance or party",5,2,5,3,5,3,1,3,2
267,Female,18-24,10-14 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Puzzle;Action;Adventure;MMO;Strategy;Role-playing,4,3,4,3,2,3,1,4,1
268,Female,18-24,20 hours or more a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action,7,1,7,4,1,1,1,1,7
269,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Role-playing;Music, dance or party",5,3,4,4,6,1,1,4,1
271,Female,18-24,Less than 3 hours a week,Smartphone,Puzzle;Strategy;Logic game,4,3,4,4,2,1,2,1,1
272,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Sports;Music, dance or party;Logic game",2,4,2,3,3,1,1,2,4
273,Male,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Simulation;Action;Adventure;Racing;Simulazione,7,1,4,1,1,1,1,3,1
274,Female,18-24,Less than 3 hours a week,Smartphone,Logic game,1,4,3,6,2,6,3,6,4
277,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Puzzle;Action;Adventure;Music, dance or party",6,5,6,5,5,6,7,6,4
278,Female,18-24,3-5 hours a week,"PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Adventure;Educational;Logic game,7,7,7,6,1,1,1,6,1
279,Male,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Sports,7,5,5,4,1,3,1,5,5
280,Male,18-24,3-5 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Racing;Sports,7,1,4,1,1,1,1,1,1
281,Male,25-29,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Action;Racing;Sports,7,1,1,1,1,1,1,1,1
282,Male,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Action;Adventure;Strategy;Sports,5,5,6,3,2,6,2,5,6
283,Female,25-29,Less than 3 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Adventure,5,4,4,2,4,2,2,3,2
285,Female,18-24,Less than 3 hours a week,Smartphone,Action;Adventure;Strategy;Logic game,6,3,6,4,2,2,2,6,2
286,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Music, dance or party;Educational;Logic game",7,7,7,7,7,7,7,7,7
288,Female,25-29,10-14 hours a week,PC/Laptop,Simulation;Strategy;Role-playing,7,1,7,4,1,1,1,4,1
289,Female,18-24,Less than 3 hours a week,Smartphone;PC/Laptop,"Arcade;Simulation;Puzzle;Role-playing;Music, dance or party;Board or card game;Educational;Logic game",5,1,1,2,1,1,1,3,1
290,Female,18-24,3-5 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation,6,3,6,6,5,6,5,6,2
291,Female,25-29,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Simulation;Role-playing;Music, dance or party",7,3,7,3,3,4,1,4,4
292,Female,18-24,3-5 hours a week,PC/Laptop,Simulation;Logic game,7,3,7,5,5,1,1,2,1
293,Female,30-34,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Arcade",Arcade;Strategy;Role-playing,5,1,5,1,3,1,1,4,1
294,Female,25-29,Less than 3 hours a week,Smartphone,Role-playing,7,2,3,1,1,1,1,1,1
296,Female,18-24,6-9 hours a week,PC/Laptop,Arcade;Simulation;Puzzle;Action;Adventure;Strategy,7,2,7,1,1,5,1,6,1
297,Female,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","MMO;Strategy;Role-playing;Sports;Music, dance or party;Board or card game;Logic game",6,7,7,6,4,4,1,1,5
298,Male,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Sports;Wrestling,6,4,6,5,2,3,2,4,5
299,Female,18-24,Less than 3 hours a week,PC/Laptop,Strategy,7,2,5,2,1,3,1,6,5
300,Female,18-24,15-19 hours a week,"PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Logic game,7,4,7,4,1,1,1,1,1
301,Female,18-24,15-19 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Action;Adventure;MMO;Music, dance or party",7,4,4,4,2,4,6,7,5
302,Female,25-29,6-9 hours a week,PC/Laptop,Simulation,7,7,7,7,1,3,2,3,2
303,Female,18-24,3-5 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Adventure;Music, dance or party",7,2,4,4,1,1,1,7,2
304,Male,18-24,10-14 hours a week,PC/Laptop,Arcade;Action;Adventure;MMO;Strategy;Racing;Sports;Battle royale,6,7,4,7,1,5,5,7,3
305,Male,18-24,6-9 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Racing;Sports,7,4,3,2,1,2,2,5,1
306,Male,25-29,20 hours or more a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Arcade",Action;Adventure;MMO,6,1,1,1,1,1,1,6,6
307,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Role-playing;Sports;Music, dance or party;Logic game",5,4,6,4,5,3,2,2,3
308,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Role-playing;Logic game,2,2,1,2,1,3,1,2,2
309,Male,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Simulation;Action;Adventure;Strategy;Racing;Sports;Board or card game,6,2,5,5,2,2,1,2,2
310,Male,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Simulation;Action;Adventure;Strategy;Racing;Sports;Board or card game,6,2,5,5,2,2,1,2,2
311,Female,25-29,Less than 3 hours a week,Smartphone;PC/Laptop,Simulation;Educational,7,4,5,4,2,2,2,3,3
312,Male,18-24,3-5 hours a week,Smartphone,"Puzzle;Action;Music, dance or party",7,5,4,3,5,6,2,1,7
314,Female,30-34,Less than 3 hours a week,PC/Laptop,Adventure;Strategy;Spf,7,2,4,3,1,1,1,1,1
315,Female,18-24,Less than 3 hours a week,Smartphone;PC/Laptop,"Arcade;Simulation;Puzzle;MMO;Music, dance or party",7,4,6,5,2,5,3,6,6
316,Female,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Adventure;Strategy,5,2,5,3,2,4,1,2,5
317,Female,18-24,10-14 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Action;Adventure;Role-playing;Board or card game,7,5,7,5,1,5,5,7,5
318,Male,18-24,6-9 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Adventure;MMO;Strategy,6,6,6,7,3,5,5,6,6
319,Female,30-34,3-5 hours a week,Smartphone,Arcade;Adventure;Logic game,7,6,1,7,4,2,1,6,1
321,Female,35-39,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Puzzle;Logic game,7,5,5,4,1,5,1,4,1
323,Female,18-24,6-9 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Role-playing,5,1,5,1,1,1,1,5,1
324,Male,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Adventure;Sports,7,1,3,2,1,1,1,3,1
325,Male,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Adventure;Sports;Music, dance or party",7,4,7,1,1,1,1,7,7
326,Female,25-29,Less than 3 hours a week,PC/Laptop,Simulation;Role-playing;Educational,7,3,5,6,1,1,1,3,1
328,Female,18-24,3-5 hours a week,Smartphone,Adventure,5,2,1,2,2,1,1,2,1
329,Male,18-24,10-14 hours a week,Smartphone,Simulation;Logic game,4,5,3,5,7,3,4,5,4
332,Male,18-24,15-19 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade,7,2,7,1,1,1,1,1,7
333,Female,18-24,Less than 3 hours a week,Smartphone,Arcade,5,1,7,1,1,1,1,1,1
334,Female,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure;Role-playing;Logic game,6,6,7,6,3,5,6,6,6
335,Female,18-24,Less than 3 hours a week,Smartphone,Arcade;Adventure,7,5,7,3,1,5,1,4,2
336,Female,35-39,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Arcade",Arcade;Simulation;Racing,7,1,7,1,1,1,1,1,1
337,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Action;Adventure;Logic game,5,3,2,2,1,3,1,2,1
338,Female,25-29,6-9 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Puzzle;Adventure,6,4,2,3,2,5,2,6,3
339,Female,18-24,Less than 3 hours a week,Smartphone;PC/Laptop,Role-playing;Board or card game,5,2,5,3,1,1,1,4,4
341,Female,18-24,6-9 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Puzzle;Sports;Music, dance or party",6,4,6,3,5,3,1,2,2
342,Female,18-24,10-14 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Puzzle;Strategy;Role-playing;Logic game,6,1,7,2,1,1,1,2,1
344,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Role-playing,3,5,4,3,2,3,2,1,1
345,Female,18-24,3-5 hours a week,PC/Laptop,Puzzle;Action;Sports,2,3,4,3,3,5,4,2,3
346,Male,18-24,20 hours or more a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS);Arcade",Arcade;Action;Adventure;MMO;Strategy;Role-playing;Logic game,7,3,7,6,1,4,3,7,3
347,Female,30-34,3-5 hours a week,Smartphone,Puzzle;Educational;Logic game,7,7,7,6,1,1,1,6,1
348,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Action;Adventure;Role-playing;Music, dance or party",7,5,7,2,4,1,1,1,1
349,Female,18-24,3-5 hours a week,Smartphone,"Simulation;Music, dance or party",3,1,6,6,5,2,1,2,1
350,Female,18-24,3-5 hours a week,Smartphone,Action;Strategy;Logic game,6,2,3,4,1,1,1,2,1
351,Female,18-24,Less than 3 hours a week,Smartphone,Adventure;Educational;Logic game,4,7,7,6,2,1,1,5,2
352,Female,18-24,6-9 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Puzzle;Adventure;Logic game,6,4,5,5,3,1,1,4,1
353,Female,25-29,6-9 hours a week,PC/Laptop,Action;Adventure,7,2,6,2,1,1,1,4,1
354,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Action;Adventure;Strategy;Role-playing;Sports,5,6,7,5,2,4,3,4,5
355,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",restoration ,4,4,4,4,4,4,4,4,4
356,Female,18-24,3-5 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Action;Adventure,5,2,5,1,1,1,1,4,1
357,Male,25-29,20 hours or more a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Role-playing;Sports;Music, dance or party",7,5,7,2,1,4,1,5,6
358,Female,18-24,15-19 hours a week,"PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;MMO;Role-playing,7,4,7,2,2,4,1,1,2
359,Male,25-29,10-14 hours a week,PC/Laptop,Moba,7,4,5,5,3,4,1,6,4
360,Female,18-24,Less than 3 hours a week,Smartphone,Sports,4,1,4,5,4,2,3,3,1
361,Female,25-29,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure,7,2,5,4,2,1,1,3,1
362,Female,18-24,6-9 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure,7,2,3,2,1,1,1,2,1
363,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Simulation;Adventure;Racing,6,3,5,2,1,1,1,1,1
364,Female,18-24,Less than 3 hours a week,Smartphone;PC/Laptop,Arcade;Puzzle;Adventure;Strategy;Board or card game;Logic game,4,1,2,3,1,1,1,2,2
365,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Adventure;Music, dance or party",7,1,2,1,1,1,1,1,1
366,Female,18-24,15-19 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Simulation;Adventure;Strategy;Music, dance or party",6,6,4,5,4,3,2,5,4
367,Female,18-24,Less than 3 hours a week,PC/Laptop,Simulation;Logic game,7,1,1,1,1,1,1,1,1
369,Female,18-24,Less than 3 hours a week,Smartphone;PC/Laptop,Simulation;Puzzle;Role-playing,5,2,4,1,1,1,1,2,1
371,Female,18-24,Less than 3 hours a week,Smartphone;PC/Laptop,"Simulation;Puzzle;Role-playing;Music, dance or party;Board or card game",6,3,6,4,1,1,1,4,1
372,Male,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Action;Adventure;Racing;Sports,6,3,6,3,3,1,1,3,2
374,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Action;Adventure;Logic game,7,6,7,7,1,7,2,7,7
376,Female,18-24,3-5 hours a week,"Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Adventure;MMO;Role-playing,7,4,7,3,1,1,1,3,1
377,Male,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Action;Adventure;MMO,5,5,5,5,5,5,5,5,6
378,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Adventure;Role-playing;Music, dance or party;Logic game",7,5,6,4,5,4,1,3,5
379,Male,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Action;Adventure;Role-playing,7,5,6,4,1,3,1,5,3
381,Female,18-24,3-5 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure,7,2,5,1,1,1,1,1,1
382,Female,18-24,6-9 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Action;Adventure;Sports;Music, dance or party",7,6,7,4,2,1,1,4,1
384,Female,18-24,Less than 3 hours a week,Smartphone;PC/Laptop,Arcade;Simulation;Adventure,7,1,7,1,1,1,1,1,1
385,Female,18-24,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Music, dance or party",7,3,4,1,1,1,1,1,1
386,Male,25-29,20 hours or more a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Action;Adventure;Strategy;Role-playing,7,4,5,4,1,1,1,6,1
387,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Adventure,7,4,4,1,1,1,1,5,1
388,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Arcade","Arcade;Simulation;Puzzle;Action;Adventure;Strategy;Role-playing;Sports;Music, dance or party;Educational;Logic game",5,6,4,4,7,4,6,4,2
389,Female,18-24,Less than 3 hours a week,"Smartphone;Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Action;Sports,6,3,4,3,1,2,1,3,2
390,Female,18-24,Less than 3 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Adventure;Role-playing;Racing;Sports;Music, dance or party",6,4,7,2,1,1,1,2,1
391,Male,18-24,15-19 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Action;Adventure;Role-playing;Sports,6,7,7,7,7,4,5,6,4
393,Male,18-24,6-9 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Sports,7,5,6,6,1,2,1,3,2
394,Male,25-29,Less than 3 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Action;Adventure;Role-playing;Board or card game,7,5,6,1,1,5,1,7,5
395,Female,18-24,Less than 3 hours a week,Smartphone;PC/Laptop,Arcade;Puzzle;Logic game,7,2,5,2,2,1,1,3,1
396,Female,18-24,15-19 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Simulation;Action;Adventure;Strategy;Role-playing;Music, dance or party",7,5,7,5,1,2,5,6,3
397,Female,18-24,10-14 hours a week,Smartphone,Arcade;Puzzle;Logic game,4,3,3,3,2,1,4,2,3
398,Female,18-24,Less than 3 hours a week,PC/Laptop,Adventure,7,1,6,1,1,1,1,1,7
399,Male,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Simulation;Action;Strategy;Racing;Sports;Logic game,7,4,4,3,1,2,1,3,2
400,Female,18-24,10-14 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Adventure;Board or card game;Fantasy,7,1,5,1,1,3,1,6,2
401,Female,18-24,6-9 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Role-playing,7,3,2,2,2,3,3,4,5
403,Male,25-29,Less than 3 hours a week,PC/Laptop,Adventure,6,2,7,5,2,2,2,5,3
404,Female,18-24,6-9 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Adventure;Sports;Music, dance or party;Logic game",7,3,5,3,3,3,1,4,1
405,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Action;Adventure;Strategy;Sports;Music, dance or party",7,6,6,4,7,1,3,4,2
406,Female,18-24,Less than 3 hours a week,PC/Laptop,Role-playing,4,4,6,2,3,3,3,4,6
407,Female,18-24,3-5 hours a week,Smartphone;PC/Laptop,Action;Adventure;Logic game,6,1,5,4,1,1,1,4,1
