,Frequency,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize,G_Arcade,G_Simulation,G_Puzzle,G_Action,G_Adventure,G_MMO,G_Strategy,G_RolePlaying,G_Racing,G_Sports,G_Music,G_BoardCard,G_Educational,G_Logic,D_Smartphone,D_PC,D_Console,D_Portable,D_Arcade
272,Less than 3 hours a week,2,4,2,3,3,1,1,2,4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0
274,Less than 3 hours a week,1,4,3,6,2,6,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
277,Less than 3 hours a week,6,5,6,5,5,6,7,6,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
278,3-5 hours a week,7,7,7,6,1,1,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0
285,Less than 3 hours a week,6,3,6,4,2,2,2,6,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
286,Less than 3 hours a week,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
289,Less than 3 hours a week,5,1,1,2,1,1,1,3,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
290,3-5 hours a week,6,3,6,6,5,6,5,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
292,3-5 hours a week,7,3,7,5,5,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
296,6-9 hours a week,7,2,7,1,1,5,1,6,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
297,6-9 hours a week,6,7,7,6,4,4,1,1,5,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0
299,Less than 3 hours a week,7,2,5,2,1,3,1,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
300,15-19 hours a week,7,4,7,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
301,15-19 hours a week,7,4,4,4,2,4,6,7,5,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0
303,3-5 hours a week,7,2,4,4,1,1,1,7,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
307,Less than 3 hours a week,5,4,6,4,5,3,2,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
308,3-5 hours a week,2,2,1,2,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
315,Less than 3 hours a week,7,4,6,5,2,5,3,6,6,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
316,3-5 hours a week,5,2,5,3,2,4,1,2,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
317,10-14 hours a week,7,5,7,5,1,5,5,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
323,6-9 hours a week,5,1,5,1,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
328,3-5 hours a week,5,2,1,2,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
333,Less than 3 hours a week,5,1,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
334,3-5 hours a week,6,6,7,6,3,5,6,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
335,Less than 3 hours a week,7,5,7,3,1,5,1,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
337,Less than 3 hours a week,5,3,2,2,1,3,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
339,Less than 3 hours a week,5,2,5,3,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
341,6-9 hours a week,6,4,6,3,5,3,1,2,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
342,10-14 hours a week,6,1,7,2,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
344,Less than 3 hours a week,3,5,4,3,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
345,3-5 hours a week,2,3,4,3,3,5,4,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
348,3-5 hours a week,7,5,7,2,4,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0
349,3-5 hours a week,3,1,6,6,5,2,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
350,3-5 hours a week,6,2,3,4,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
351,Less than 3 hours a week,4,7,7,6,2,1,1,5,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
352,6-9 hours a week,6,4,5,5,3,1,1,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
354,3-5 hours a week,5,6,7,5,2,4,3,4,5,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0
355,Less than 3 hours a week,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
356,3-5 hours a week,5,2,5,1,1,1,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
358,15-19 hours a week,7,4,7,2,2,4,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
360,Less than 3 hours a week,4,1,4,5,4,2,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
362,6-9 hours a week,7,2,3,2,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
363,Less than 3 hours a week,6,3,5,2,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
364,Less than 3 hours a week,4,1,2,3,1,1,1,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0
365,Less than 3 hours a week,7,1,2,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
366,15-19 hours a week,6,6,4,5,4,3,2,5,4,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0
367,Less than 3 hours a week,7,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
369,Less than 3 hours a week,5,2,4,1,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
